"Airline","Comments","Country","ICAO","Call sign"
"Sun Pacific International","","United States","SNP","SUN PACIFIC"
"Sun Quest Executive Air Charter","","United States","SNQ","EXECU-QUEST"
"Societe Centrafricaine De Transport Aerien","","Central African Republic","SNS",""
"Suncoast Aviation","","United States","SNT","SUNCOAST"
"Snunit Aviation","","Israel","SNU",""
"Sudanese States Aviation","","Sudan","SNV","SUDANESE"
"Sun West Airlines","","United States","SNW","SUN WEST"
"Sun Air Aviation Services","","Canada","SNX","SUNEX"
"Stabo Freight","","Zambia","SOB","STABO"
"Southern Cargo Air Lines","","Russia","SOC",""
"Southern Ohio Aviation Sales","","United States","SOH","SOUTHERN OHIO"
"Southern Aviation","","Zambia","SOI","SOAVAIR"
"Solomon Airlines","","Solomon Islands","SOL","SOLOMON"
"Somali Airlines","","Somali Republic","SOM","SOMALAIR"
"Sunshine Air Tours","","United States","SON","SUNSHINE TOURS"
"Southern Air","","United States","SOO","SOUTHERN AIR"
"Solinair","","Slovenia","SOP","SOLINAIR"
"Sonair Servico Aéreo","","Angola","SOR","SONAIR"
"Southeast Correct Craft","","United States","SOT","SOUTH COURIER"
"Southern Airways","","United States","SOU","SOUTHERN EXPRESS"
"Saratov Airlines Joint Stock Company","","Russia","SOV","SARATOV AIR"
"Sowind Air","","Canada","SOW","SOWIND"
"Solid Air","","Netherlands","SOX","SOLIDAIR"
"Sat Airlines","","Kazakhstan","SOZ","SATCO"
"Sierra Pacific Airlines","","United States","SPA","SIERRA PACIFIC"
"Springbok Classic Air","","South Africa","SPB","SPRING CLASSIC"
"Skyworld Airlines","","United States","SPC","PORT"
"Sprague Electric Company","","United States","SPE","SPRAGUE"
"Space World Airline","","Nigeria","SPF","SPACE WORLD"
"Springdale Air Service","","United States","SPG","SPRING AIR"
"Sapphire Executive Air","","South Africa","SPH","SAPPHIRE-CHARTER"
"South Pacific Island Airways","","United States","SPI","SOUTH PACIFIC"
"Servicios Corporativos Aéreos De La Laguna","","Mexico","SPL","CORPORATIVOS LAGUNA"
"Skorpion Air","","Bulgaria","SPN","AIR SKORPIO"
"Sapphire Aviation","","United States","SPP","SAPPHIRE"
"Servicios Aéreos Palenque","","Mexico","SPQ","SERVICOS PALENQUE"
"Servicios Aéreos Tribasa","","Mexico","TBS","TRIBASA"
"Shuttle America","","United States","TCF","MERCURY"
"SALTAVIATION","http://salt.aero/","Poland","SVV","SALT"
"SAAB Nyge Aero","","Sweden","TGT","TARGET"
"Spark Air","","Thailand","THB","THAI SABAI"
"S C Ion Tiriac","","Romania","TIH","TIRIAC AIR"
"Starlite Aviation","","South Africa","TRL","STARSTREAM"
"Servicios Aéreos Corporativos","","Mauritania","TRN","AEROTRON"
"Societe Tout Transport Mauritanien","","Mauritania","TTM","TOUT-AIR"
"Servicios Aéreos Tamazula","","Mexico","TZU","TAMAZULA"
"Shar Ink","","Russia","UGP","SHARINK"
"Second Sverdlovsk Air Enterprise","","Russia","UKU","PYSHMA"
"Servicios Aéreos Universitarios","","Mexico","UNT","UNIVERSITARIO"
"Skif-Air","","Ukraine","USK","SKIF-AIR"
"Smarkand Aero Servise","","Uzbekistan","USN","SAMAS"
"Samarkand Airways","","Uzbekistan","UZS","SOGDIANA"
"Servicios Aéreos Avandaro","","Mexico","VDO","AVANDARO"
"Stichting Vliegschool 16Hoven","","Netherlands","VGS","SMART"
"Silverback Cargo Freighters","","Rwanda","VRB","SILVERBACK"
"Sirvair","","Mexico","VRS","VAIRSA"
"Scat Air","","Kazakhstan","VSV","VLASTA"
"Sunset Aviation","","United States","VXN","VIXEN"
"Sunset Aviation, LLC","dba Solairus aviation","United States","TWY","TWILIGHT"
"Sport Air Travel","","United States","WCC","WEST COAST"
"Swift Copters","","Switzerland","WFC","SWIFTCOPTERS"
"Skyrover CC","","South Africa","WLK","SKYWATCH"
"Safarilink Aviation","","Kenya","XLK","SAFARILINK"
"SENEAM","","Mexico","XMX","SENEAM"
"Southport Air Service","","United States","XPG",""
"Spectrum Air Service","","United States","XSA",""
"Stephenville Aviation Services","","Canada","XSN",""
"Servicios Aéreos Textra","","Mexico","XTA","TEXTRA"
"Sector Airlines","","Canada","XTR","EXTER"
"Skyplan Services","","Canada","XXS",""
"Stewart Aviation Services","","United States","YBE","YELLOW BIRD"
"Sirin","","","",""
"Star Air","","Denmark","",""
"Servicios Aéreos Integrales / Flyant","","Spain","FYA","FLYANT"
"State Flight Academy of Ukraine","","Ukraine","UFA","FLIGHT ACADEMY"
"Singapore Air Force","","Singapore","SAF","SINGA"
"Starlink Aviation","","Canada","TLK","STARLINK"
"Star1 Airlines","defunct","Lithuania","HCW","STAR1"
"Sunshine Airlines","defunct","","AAS",""
"Thai Express Air","2014","Thailand","TXZ","EXPRESS AIR"
"Thai Smile Airways","2014","Thailand","THD","THAI SMILE"
"Thai Vietjet Air","2014","Thailand","TVJ","THAIVIET JET"
"Taxair Mexiqienses","Callsign changed from TAXA QUENSE in 2014","Mexico","TQE","TAXAIR"
"Thai Airasia X","","Thailand","TAX","EXPRESS WING"
"Thai Lion Mentari","","Thailand","TLM","MENTARI"
"Transporte Aereo De Colombia","","Colombia","TCB","AERO COLOMBIA"
"Trend Aviation","","United States","TDA","TREND AIR"
"Turkish Aerospace Industries","","Turkey","THS","TUSAS"
"Trend Aviation","","United States","TDA","TREND AIR"
"Transmandu","","Venezuela","TMD","TRANSMANDU"
"Turkish Airlines General Aviation","","Turkey","TRK","TURKISH REPUBLIC"
"Tarkim Aviation","","Turkey","TKJ","TARKIM AVIATION"
"Transafricaine Air Cargo","","Burkina Faso","TCG","AFRICARGO"
"Travel Management Company","","United States","TMC","TRAIL BLAZER"
"Trifly","","United States","SWD","SAWBLADE"
"Trans Jet Airways","","Sweden","SWL","TRANSJET"
"Turbot Air Cargo","","Senegal","TAC","TURBOT"
"Transporte Aéreo Dominicano","","Dominican Republic","TAD","TRANS DOMINICAN"
"TAME","Transporte Aéreos Militares Ecuatorianos","Ecuador","TAE","TAME"
"Trans International Express Aviation","","United States","BAP","BIG APPLE"
"TAG Aviation USA","","United States","TAG","TAG U-S"
"Talair","","Papua New Guinea","TAL","TALAIR"
"LATAM Brasil","","Brazil","TAM","TAM"
"Transaustralian Air Express","Defunct","Australia","AUC","AUSCARGO"
"TAP Portugal","","Portugal","TAP","AIR PORTUGAL"
"Tunisair","","Tunisia","TAR","TUNAIR"
"Transportes Aéreos Tauro","","Mexico","TAU","TRANSTAURO"
"Travel Air","","Germany","TAX","TRAVELAIR"
"TNT Airways","","Belgium","TAY","QUALITY"
"Transbrasil","defunct","Brazil","TBA","TRANSBRASIL"
"Turbine Air Cargo UK","","United Kingdom","TBC",""
"Thunderbird Tours","","Canada","TBD","ORCA"
"Tropical Airways","","Haiti","TBG",""
"Trinity Air Bahamas","","Bahamas","TBH",""
"TAB Express International","","United States","TBI","TAB INTERNATIONAL"
"Taban Air Lines","","Iran","TBM","TABAN AIR"
"Teebah Airlines","","Sierra Leone","TBN","TEEBAH"
"Tubelair","","Tunisia","TBR","TUBELAIR"
"Tobago Express","","Trinidad and Tobago","TBX","TABEX"
"Tropican Air Services","","Egypt","TCA","TROPICANA"
"Transporte del Caribe","","Colombia","TCB","TRANSCARIBE"
"Trans Continental Airlines","","Sudan","TCC","TRANSCAL"
"Tchad Airlines","","Chad","TCD","TCHADLINES"
"Trans-Colorado Airlines","","United States","TCE","TRANS-COLORADO"
"Thai Air Cargo","","Thailand","TCG","THAI CARGO"
"Transcontinental Air","","Bahrain","TCH","TRANS GULF"
"Teledyne Continental Motors","","United States","TCM","TELEDYNE"
"Trans Continental Airlines","","United States","TCN","TRANSCON"
"Transcorp Airways","","United Kingdom","TCP","TRANSCORP"
"Transcontinental Sur","","Uruguay","TCT","TRANS-CONT"
"Transglobal Airways Corporation","","Philippines","TCU","TRANSGLOBAL"
"Thomas Cook Airlines","","Belgium","TCW","THOMAS COOK"
"Thomas Cook Airlines","Formerly ""TOP JET""","United Kingdom","TCX","KESTREL"
"Twin Cities Air Service","","United States","TCY","TWIN CITY"
"Tadair","","Spa","TDC","TADAIR"
"Tellavia / Flight One","","United States","TDE","TELLURIDE"
"Transportes Aéreos de Ixtlán","","Mexico","TDI","TRANSIXTLAN"
"Tandem Aero","","Moldova","TDM","TANDEM"
"TRADO","Transporte Aéreo Dominicano","Dominican Republic","TDO","TRADO"
"Trade Air","","Croatia","TDR","TRADEAIR"
"Taxi Aero Nacional Del Evora","","Mexico","TDV","TAXI EVORA"
"Tradewinds Airlines","Wrangler Aviation","United States","TDX","TRADEWINDS EXPRESS"
"Tenir Airlines","","Kyrgyzstan","TEB","TENIR AIR"
"Teamline Air","","Austria","TLW","Teamline"
"Tecnicas Fotograficas","","Spain","TEF","TECFOTO"
"Tempelhof Airways","","United States","TEH","TEMPELHOF"
"Telford Aviation","","United States","TEL","TELFORD"
"Tech-Mont Helicopter Company","","Slovakia","TEM","TECHMONT"
"Tennessee Airways","","United States","TEN","TENNESSEE"
"Territorial Airlines","","United States","TER","TERRI-AIRE"
"TAES Transportes Aéreos de El Salvador","","El Salvador","TES","TAES"
"Transeuropean Airlines","","Russia","TEP","TRANSEURLINE"
"Tepavia-Trans Airlines","","Moldova","TET","TEPAVIA"
"Trans-Florida Airlines","","United States","TFA","TRANS FLORIDA"
"Tair Airways","","Philippines","TFB","ROYAL TEE-AIR"
"Talon Air","","United States","TFF","TALON FLIGHT"
"Trabajos Aéreos Murcianos","","Spain","AIM","PIJO"
"Thai Flying Helicopter Service","","Thailand","TFH","THAI HELICOPTER"
"Transport Facilitators","","United States","TFI",""
"Transafrik International","","São Tomé and Príncipe","TFK",""
"Transportes Aéreos del Pacífico","","Mexico","TFO","TRANSPORTES PACIFICO"
"Thai Flying Service","","Thailand","TFT","THAI FLYING"
"Transportes Aéreos San Rafael","","Chile","SRF","SAN RAFEAL"
"Tayside Aviation","","United Kingdom","TFY","TAYSIDE"
"TG Aviation","","United Kingdom","TGC","THANET"
"Trabajos Aéreos","","Spain","TGE","TASA"
"Transportes Aéreos Regionales","","Mexico","TGI","TRANSPORTE REGIONAL"
"TAG Aviation Espana","","Spain","TGM","TAG ESPANA"
"Trigana Air Service","","Indonesia","TGN","TRIGANA"
"Satgur Air Transport","defunct","Liberia","TGR","SATGURAIR"
"Titan Airways","","United Kingdom","AWC","ZAP"
"Transport Canada","","Canada","TGO","TRANSPORT"
"Tigerair Singapore","","Singapore","TGW","GO CAT"
"Tigerair Australia","","Australia","TGW","GO CAT"
"Tigerair Taiwan","","Taiwan","TTW","SMART CAT"
"Tigerair Mandala","defunct, original airline code RI","Indonesia","MDL","MANDALA"
"Tigerair Philippines","Formerly SEAir and to be renamed to Go! Air","Philippines","SRQ","SEATIGER"
"Transair Gabon","","Gabon","TGX","TRANSGABON"
"Trans Guyana Airways","","Guyana","TGY","TRANS GUYANA"
"Thai Airways International","","Thailand","THA","THAI"
"Tar Heel Aviation","","United States","THC","TARHEEL"
"Toumai Air Tchad","","Chad","THE","TOUMAI AIR"
"Touraine Helicoptere","","France","THF","TOURAINE HELICO"
"Thai Global Airline","","Thailand","THG","THAI GLOBAL"
"Thai Jet Intergroup","","Thailand","THJ","THAI JET"
"Turk Hava Kurumu Hava Taksi Isletmesi","","Turkey","THK","HUR KUS"
"Thai AirAsia","","Thailand","AIQ","THAI ASIA"
"TACA De Honduras","","Honduras","THO","LEMPIRA"
"Tehran Airline","","Iran","THR","TEHRAN AIR"
"Thunder Airlines","","Canada","THU","AIR THUNDER"
"Turkish Airlines","","Turkey","THY","TURKISH"
"Trans Helicoptere Service","","France","THZ","LYON HELIJET"
"Trans International Airlines","","United States","TIA","TRANS INTERNATIONAL"
"Travel International Air Charters","","Zambia","TIC","TRAVEL INTERNATIONAL"
"Time Air","","Czech Republic","TIE","TIME AIR"
"Tic Air","","Australia","TIK","TICAIR"
"TEAM Linhas Aéreas","","Brazil","TIM","TEAM BRASIL"
"Taino Tours","","Dominican Republic","TIN","TAINO"
"Tesis","","Russia","TIS","TESIS"
"Transcarga Intl Airways","","Venezuela","TIW","TIACA"
"Tajikair","","Tajikistan","TJK","TAJIKAIR"
"Tien-Shan","","Kazakhstan","TJN","NERON"
"Tyrolean Jet Services","","Austria","TJS","TYROLJET"
"Twin Jet","","France","TJT","TWINJET"
"Tikal Jets Airlines","","Guatemala","TKC","TIKAL"
"Take Air Line","","France","TKE","ISLAND BIRD"
"Tropical International Airways","","Saint Kitts and Nevis","TKX","TROPEXPRESS"
"Thai Sky Airlines","","Thailand","TKY","THAI SKY"
"Translift Airways","","Ireland","TLA","TRANSLIFT"
"Transport Africa","","Sierra Leone","TLF","TRANS-LEONE"
"Trans Atlantic Airlines","","Sierra Leone","TLL","ATLANTIC LEONE"
"Eagle Canyon Airlines","","United States","TLO","TALON AIR"
"Tulip Air","","Netherlands","TLP","TULIPAIR"
"Tunisavia","","Tunisia","TAJ","TUNISAVIA"
"TLC Air","","United States","TLS","TEALSY"
"Turtle Airways","","Fiji","TLT","TURTLE"
"Travelair","","Uruguay","TLV","PAJAROS"
"Telesis Transair","","United States","TLX","TELESIS"
"Top-Fly","","Spain","TLY","TOPFLY"
"Trans Mediterranean Airlines","","Lebanon","TMA","TANGO LIMA"
"Transmed Airlines","","Egypt","TMD",""
"Tri-MG Intra Asia Airlines","","Indonesia","TMG","TRILINES"
"Taxis Turisticos Marakame","","Mexico","TMH","TAXIMARAKAME"
"Tamir Airways","","Israel","TMI","TAMIRWAYS"
"Tomahawk Airways","","United States","TMK","TOMAHAWK"
"Transports et Travaux Aériens de Madagascar","","Madagascar","TML","TAM AIRLINE"
"TMC Airlines","","United States","TMM","WILLOW RUN"
"TRAM","","Mauritania","TMQ","TRAM AIR"
"Timberline Air","","Canada","TMR","TIMBER"
"Temsco Helicopters","","United States","TMS","TEMSCO"
"Trans Midwest Airlines","","United States","TMT","TRANS MIDWEST"
"Tramon Air","","South Africa","TMX","TRAMON"
"Transportes Aéreos del Mundo Maya","","Mexico","TMY","MUNDO MAYA"
"Transporte Amazonair","","Venezuela","TMZ","TRANS AMAZON"
"Trans Air-Benin","","Benin","TNB","TRANS-BENIN"
"Taxis Aéreos del Noroeste","","Mexico","TNE","TAXINOROESTE"
"Transafricaine","","Burkina Faso","TNF","TRANSFAS"
"Tennessee Air National Guard 164th Airlift Group","","United States","TNG",""
"Transair International Linhas Aéreas","","United States","TNI","TRANSINTER"
"Tengeriyn Ulaach Shine","","Mongolia","TNL","SKY HORSE"
"Tiara Air","","Aruba","TNM","TIARA"
"Transped Aviation","","Austria","TNP","TRANSPED"
"Tanana Air Services","","United States","TNR","TAN AIR"
"Trans North Turbo Air","","Canada","TNT","TRANS NORTH"
"Transnorthern","","United States","TNV","TRANSNORTHERN"
"Trans Nation Airways","","Ethiopia","TNW","TRANS-NATION"
"Trener Ltd","","Hungary","TNX","TRAINER"
"Twin Town Leasing Company","","United States","TNY","TWINCAL"
"Tobruk Air","","Libya","TOB","TOBRUK AIR"
"TOJ Airlines","","Tajikistan","TOJ","TOJ AIRLINE"
"Tol-Air Services","","United States","TOL","TOL AIR"
"Thomson Airways","","United Kingdom","TOM","TOMSON"
"Top Air","","Indonesia","TOP","AIR TOP"
"Toronto Airways","","Canada","TOR","TORONTAIR"
"Tropic Air","","Belize","TOS","TROPISER"
"Totavia","Aviation Information Services","Canada","TOT",""
"Tower Air","","United States","TOW","TEE AIR"
"Toyota Canada","","Canada","TOY","TOYOTA"
"TAMPA","","Colombia","TPA","TAMPA"
"Top Speed","","Austria","TPD","TOP SPEED"
"Taxis Aéreos del Pacífico","","Mexico","TPF","TAXIPACIFICO"
"Transportes Aéreos Pegaso","","Mexico","TPG","TRANSPEGASO"
"TAR Interpilot","","Mauritania","TPL","INTERPILOT"
"Transpaís Aéreo","","Mexico","TPM","TRANSPAIS"
"Transportación Aérea del Norte","","Mexico","TPN","AEREA DELNORTE"
"Transpac Express","","Australia","TPP","TRANS EXPRESS"
"Taxis Aéreos De Parral","","Mexico","TPR","TAXIS PARRAL"
"TAPSA Transportes Aéreos Petroleros","","Argentina","TPS","TAPSA"
"Transportes Aéreo del Sureste","","Mexico","TPT","TASSA"
"Trans American Airlines (Trans Am)","","Peru","TPU","TRANS PERU"
"Thai Pacific Airlines Business","","Thailand","TPV","THAI PACIFIC"
"Transportes Aéreos De Xalapa","","Mexico","TPX","TRANSXALAPA"
"Trans-Provincial Airlines","","Canada","TPY","TRANS PROVINCIAL"
"Transportes La Paz","","Mexico","TPZ","TRANSPAZ"
"Taquan Air Services","","United States","TQN","TAQUAN"
"Transportación Aérea De Querétaro","","Mexico","TQR","TRANSQUERETARO"
"TransAsia Airways","","Taiwan","TNA",""
"Transavia France","","France","TVF","FRANCE SOLEIL"
"Transavia Holland","","Netherlands","TRA","TRANSAVIA"
"Trans Air Charter","","United States","TRC","TRACKER"
"TACV","","Cape Verde","TCV","CABOVERDE"
"Trans Island Air","","Barbados","TRD","TRANS ISLAND"
"Taxi Air Fret","","France","TRF","TAXI JET"
"TRAGSA (Medios Aéreos)","","Spain","TRG",""
"Trans Euro Air","","United Kingdom","TRJ","HIGH TIDE"
"Transport Aerien de Mauritanie","","Mauritania","TRM","SOTRANS"
"Tropic Airlines-Air Molokai","","United States","TRO","MOLOKAI"
"Turdus Airways","","Netherlands","TRQ","HUNTER"
"Tramson Limited","","Sudan","TRR","TRAMSON"
"Trans Arabian Air Transport","","Sudan","TRT","TRANS ARABIAN"
"Triangle Airline (Uganda)","","Uganda","TRU","TRI AIR"
"Transwestern Airlines of Utah","","United States","TRW","TRANS-WEST"
"Tristar Airlines","","United States","TRY","TRISTAR AIR"
"TransMeridian Airlines","Defunct","United States","TRZ","TRANS-MERIDIAN"
"Transair France","","France","TSA","AIRTRAF"
"TAF-Linhas Aéreas","","Brazil","TSD","TAFI"
"Transmile Air Services","","Malaysia","TSE","TRANSMILE"
"Trans-Air-Congo","","Republic of the Congo","TSG","TRANS-CONGO"
"Transport'air","","France","TSI","TRANSPORTAIR"
"Trast Aero","","Kyrgyzstan","TSJ","TRAST AERO"
"Trast Aero","","Kyrgyzstan","TSK","TOMSK-AVIA"
"Thai Aviation Services","","Thailand","TSL","THAI AVIATION"
"Taftan Airlines","","Iran","SBT","TAFTAN"
"Transwest Air","","Canada","ABS","ATHABASKA"
"Trans Sayegh Airport Services","","Lebanon","TSM",""
"Trans-Air Services","","Nigeria","TSN","AIR TRANS"
"Transaero Airlines","","Russia","TSO","TRANSOVIET"
"Transportes Aéreos Inter","","Guatemala","TSP","TRANSPO-INTER"
"Trans Service Airlift","","Democratic Republic of Congo","TSR","TRANS SERVICE"
"Tri-State Aero","","United States","TSS","TRI-STATE"
"TRAST","","Kazakhstan","TST","TRAST"
"Tropair Airservices","","United Kingdom","TSV","TROPIC"
"Transwings","","Switzerland","TSW","SWISSTRANS"
"Thai Star Airlines","","Thailand","TSX","THAI STAR"
"Tristar Air","","Egypt","TSY","TRIPLE STAR"
"TTA - Sociedade de Transporte e Trabalho Aéreo","","Mozambique","TTA","KANIMANBO"
"Transteco","","Angola","TTC","TRANSTECO"
"Tarhan Tower Airlines","","Turkey","TTH",""
"Total Linhas Aéreas","","Brazil","TTL","TOTAL"
"Triple O Aviation","","Nigeria","TTP","MIGHTY WING"
"Transportaciones Y Servicios Aéreos","","Mexico","TTR","TRANSPORTACIONES"
"Transporte Aéreo Técnico Ejecutivo","","Mexico","TTS","TECNICO"
"Turkmenhovayollary","","Turkmenistan","TUA","TURKMENISTAN"
"Turismo Aéreo de Chile","","Chile","TUC","TURICHILE"
"Tuninter","","Tunisia","TUI",""
"Tulpar Air","","Russia","TUL","URSAL"
"Tyumenspecavia","","Russia","TUM","TUMTEL"
"Taxi Aéreo Turístico","","Mexico","TUO","TURISTICO"
"Tulpar Air Service","","Kazakhstan","TUX","TULPA"
"Tuna Aero","","Sweden","TUZ","TUNA"
"Trans America Airlines","","United States","TVA","TRANS-AMERICA"
"Trabajos Aéreos Vascongados","","Spain","TVH","TRAVASA"
"Tiramavia","","Moldova","TVI","TIRAMAVIA"
"Travel Service","","Hungary","TVL","TRAVEL SERVICE"
"Transavio","","Italy","TVO","TRANS-BALLERIO"
"Tavrey Airlines","","Ukraine","TVR","TAVREY"
"Travel Service","","Czech Republic","TVS","SKYTRAVEL"
"T'way Air","","Republic of Korea","TWB","TWAYAIR"
"Transwede Airways","","Sweden","TWE","TRANSWEDE"
"Twinjet Aircraft Sales","","United Kingdom","TWJ",""
"Tradewinds Aviation","","Canada","TWL","TRADEWINDS CANADA"
"Transairways","","Mozambique","TWM",""
"Twente Airlines","","Netherlands","TWO","COLIBRI"
"Trans Air Welwitchia","","Angola","TWW","WELWITCHIA"
"Texair Charter","","United States","TXA","OKAY AIR"
"TransAVIAexport Airlines","","Belarus","TXC","TRANSEXPORT"
"Transilvania Express","","Romania","TXE","TRANSAIR EXPRESS"
"Taxi Aéreo Cozatl","","Mexico","TXL","TAXI COZATL"
"Taxi Aéreo de México","","Mexico","TXM","TAXIMEX"
"Texas National Airlines","","United States","TXN","TEXAS NATIONAL"
"Taxis Aéreos de Sinaloa","","Mexico","TXO","TAXIS SINALOA"
"Taxirey","","Mexico","TXR","TAXIREY"
"Texas Airlines","","United States","TXS","TEXAIR"
"Texas Air Charters","Group One","United States","TXT","TEXAS CHARTER"
"Tex Star Air Freight","","United States","TXZ","TEX STAR"
"Tayflite","","United Kingdom","TYF","TAYFLITE"
